Building Address,OPA Number,OPA Square Footage
5400 GRAYS AVE,884219000,102599
5458 TACONY ST,884213000,167504
5534-46 PULASKI AVE,884508130,52760
5601 CHRISTIAN ST,783096200,56751
5601-07 TULIP ST,884177700,139329
5675 N FRONT ST,882136420,360474
5700 WAYNE AVE,784473200,210654
6127 N 05TH ST,776316000,95619
6201-31 N FRONT ST,882136000,93045
6213-35 CEDAR AVE,774103000,81939
6452 GREENE ST,775183000,71875
6610 HASBROOK AVE,884121701,80658
6801 FRANKFORD AVE,882396475,52408
6901 WOODLAND AVE,773192002,64630
700-40 SPRING GARDEN ST,771688000,278180
727-35 CHESTNUT ST,883401500,98030
750-62 S BROAD ST,772077000,58050
7625 SUFFOLK AVE,884162600,103530
7700-50 E ROOSEVELT BLV,884265300,72000
7701 EDMUND ST,884254500,176167
7770 DUNGAN RD.,882064865,51370
800 N BROAD ST,772639050,67200
801 E ERIE AVE,884111000,364150
811 S CHRIS COLUMBUS BLV,884463675,100713
8318-60 BUSTLETON AVE,882093000,63746
8350 EXECUTIVE AVE,884170400,67050
858 N BROAD ST,772071500,194444
8835 GERMANTOWN AVE,775001000,356998
900 JEFFERSON ST,777502500,52200
900 PACKER AVE,883740000,159630
900-04 N BROAD ST,881427051,62400
910-32 CHESTNUT ST,883401700,250005
9125 MARSHALL ST,882131610,90890
913-29 WALLACE ST,884073505,64855
923-25 WALNUT ST,883402000,55656
949 E ERIE AVE,884111500,87450
9490 BLUE GRASS RD,884225002,306680
9910 FRANKFORD AVE,882139500,112440
